İlan Tarihi,Marka,Arac Tip Grubu,Arac Tip,Model Yıl,Yakıt Turu,Vites,CCM,Beygir Gucu,Renk,Kasa Tipi,Kimden,Durum,Km,Fiyat
17/05/2020,Alfa Romeo,156,2.0 TS 16V Selespeed,2002.0,Benzin/LPG,Yarı Otomatik Vites,1801-2000 cc,151-175 BG,Beyaz ,Sedan,Galeriden,2. El,220000,45000
12/05/2020,Alfa Romeo,Giulietta,1.6 JTD Super TCT,2018.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Füme ,Hatchback 5 Kapı,Galeriden,2. El,32000,178750
12/05/2020,Alfa Romeo,156,1.9 JTD 16V Progression,2016.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Diğer ,Diğer,Yetkili,0 km,41128,236750
18/04/2020,Alfa Romeo,Diğer,Diğer,2013.0,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Kırmızı ,Hatchback 3 Kapı,Galeriden,2. El,182000,72950
18/04/2020,Alfa Romeo,Diğer,Diğer,2013.0,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Mavi ,Hatchback 3 Kapı,Galeriden,2. El,99000,105900
18/04/2020,Alfa Romeo,159,1.9 JTD Distinctive Plus,2007.0,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Kahverengi ,Sedan,Galeriden,2. El,229000,77500
18/04/2020,Alfa Romeo,156,1.6 TS,1998.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Kırmızı ,Sedan,Galeriden,2. El,262000,32000
18/04/2020,Alfa Romeo,Giulietta,1.6 JTD Super TCT,2016.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,80000,166500
17/04/2020,Alfa Romeo,147,1.9 JTD Q2,2008.0,Dizel,Düz Vites,1801-2000 cc,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,244000,83000
17/04/2020,Alfa Romeo,Giulietta,Diğer,2013.0,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,85000,127500
17/04/2020,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2012.0,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,222000,69000
02/04/2020,Alfa Romeo,147,1.6 TS Distinctive,2004.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Siyah ,Hatchback 5 Kapı,Sahibinden,2. El,236500,38500
24/03/2020,Alfa Romeo,145,1.6 L,2015.0,Benzin,Otomatik Vites,1301-1600 cc,151-175 BG,Siyah ,Diğer,Yetkili,0 km,104860,343250
09/04/2020,Audi,Q7,3.0 TDI Quattro,2006.0,Dizel,Otomatik Vites,2501-3000 cc,276-300 BG,Gri ,Arazi Aracı,Galeriden,2. El,274654,162750
29/05/2020,Audi,A4,2.0 TDI Quattro,2014.0,Dizel,Otomatik Vites,Bilmiyorum,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,283000,225000
16/06/2020,Audi,A6,2.0 TDI,2008.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,126-150 BG,Siyah ,Sedan,Galeriden,2. El,336000,117500
16/06/2020,Audi,A4,2.0 TDI,2009.0,Dizel,Yarı Otomatik Vites,2001-2500 cc,126-150 BG,Siyah ,Sedan,Galeriden,2. El,298000,119900
15/06/2020,Audi,A4,A4 Sedan 2.0 TDI,2012.0,Dizel,Otomatik Vites,1801-2000 cc,126-150 BG,Beyaz ,Sedan,Galeriden,2. El,164000,177500
15/06/2020,Audi,A4,2.0 TDI,2009.0,Dizel,Yarı Otomatik Vites,Bilmiyorum,126-150 BG,Füme ,Sedan,Sahibinden,2. El,302000,117500
15/06/2020,Audi,A3,1.6 TDI Ambition,2016.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,101-125 BG,Siyah ,Sedan,Sahibinden,2. El,43500,248000
15/06/2020,Audi,Q7,3.0 TDI Quattro,2006.0,Dizel,Otomatik Vites,2501-3000 cc,226-250 BG,Siyah ,Arazi Aracı,Galeriden,2. El,230000,155000
15/06/2020,Audi,A4,2.0 TDI,2015.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,126-150 BG,Siyah ,Sedan,Sahibinden,2. El,85000,262000
14/06/2020,Audi,A3,A3 Sportback 1.4 TFSI Attraction,2008.0,Benzin,Düz Vites,1301-1600 cc,101-125 BG,Füme ,Hatchback 5 Kapı,Galeriden,2. El,201500,83900
13/06/2020,Audi,A3,A3 Sportback 1.6 Attraction,2011.0,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,146000,115000
12/06/2020,Audi,A3,"1.6 TDI Ambition Sportback
",2012.0,Dizel,Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,114000,145000
12/06/2020,Audi,A4,1.6,2008.0,Benzin/LPG,Düz Vites,1601-1800 cc,Bilmiyorum,Siyah ,Sedan,Sahibinden,2. El,220042,110000
12/06/2020,Audi,A4,A4 Sedan 3.0,2003.0,Benzin,Yarı Otomatik Vites,2501-3000 cc,201-225 BG,Bej ,Sedan,Galeriden,2. El,239000,79900
12/06/2020,Audi,A5,A5 Coupe 1.8 TFSI,2010.0,Benzin,Yarı Otomatik Vites,1601-1800 cc,151-175 BG,Gümüş Gri ,Spor / Coupe,Galeriden,2. El,105000,159900
11/06/2020,Audi,A5,1.8 TFSI Coupe,2011.0,Benzin,Yarı Otomatik Vites,1601-1800 cc,151-175 BG,Beyaz ,Spor / Coupe,Sahibinden,2. El,94000,175000
10/06/2020,Audi,A3,"1.6 TDI Attraction Sportback
",2012.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,147500,147500
10/06/2020,Audi,Q5,2.0 TDI Quattro Sport,2017.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Mavi ,Arazi Aracı,Galeriden,2. El,47800,669900
10/06/2020,Audi,A4,2.0 TDI,2016.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Siyah ,Sedan,Galeriden,2. El,80000,274900
27/05/2020,Mercedes,A Serisi,A 180 CDI BlueEfficiency Style,2014.0,Dizel,Otomatik Vites,1301-1600 cc,126-150 BG,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,182000,199500
10/06/2020,Audi,Q7,3.0 TDI Quattro,2016.0,Dizel,Otomatik Vites,2501-3000 cc,251-275 BG,Siyah ,Arazi Aracı,Galeriden,2. El,138000,820000
10/06/2020,Audi,A3,1.6 Attraction Sportback,2012.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,135000,83900
09/06/2020,Audi,A6,2.0 TDI,2011.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Gri ,Sedan,Galeriden,2. El,141000,232000
08/06/2020,Audi,A6,2.0 TDI,2014.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,176-200 BG,Siyah ,Sedan,Galeriden,2. El,174000,308750
07/06/2020,Audi,A4,2.0 TDI,2013.0,Dizel,Otomatik Vites,Bilmiyorum,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,315000,175000
07/06/2020,Audi,A3,1.8 Ambiente,2000.0,Benzin/LPG,Otomatik Vites,1601-1800 cc,101-125 BG,Siyah ,Hatchback 5 Kapı,Sahibinden,2. El,230000,44000
06/06/2020,Audi,A6,A6 Sedan 2.0 TDI,2016.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,83000,425000
05/06/2020,Audi,A4,A4 Sedan 2.0 TDI,2014.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,88000,193900
05/06/2020,Audi,A3,1.6 TDI Sedan,2016.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Siyah ,Sedan,Galeriden,2. El,8000,255000
03/06/2020,Audi,A5,2.7 TDI,2009.0,Dizel,Yarı Otomatik Vites,2501-3000 cc,176-200 BG,Siyah ,Spor / Coupe,Galeriden,2. El,126000,162500
01/06/2020,Audi,Q2,1.6 TDI Design,2020.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Kırmızı ,Arazi Aracı,Galeriden,0 km,0,320000
01/06/2020,Audi,A3,A3 Sedan 1.6 TDI Design Line,2018.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Siyah ,Sedan,Galeriden,2. El,35000,236000
01/06/2020,Audi,A4,A4 Sedan 2.0 TDI Quattro,2015.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,141000,222000
01/06/2020,Audi,A4,A4 Sedan 2.0 TDI Quattro,2015.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Siyah ,Sedan,Galeriden,2. El,141000,222000
01/06/2020,Audi,A4,2.0 TDI,2014.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Beyaz ,Sedan,Galeriden,2. El,113000,225000
01/06/2020,Audi,A6,A6 Sedan 2.0 TDI,2017.0,Dizel,Otomatik Vites,1300 cc ve altı,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,80000,450000
30/05/2020,Audi,A4,2.0 TDI,2014.0,Dizel,Otomatik Vites,1801-2000 cc,151-175 BG,Beyaz ,Sedan,Galeriden,2. El,210000,200000
30/05/2020,Audi,A4,1.6,1996.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,76-100 BG,Lacivert ,Sedan,Galeriden,2. El,100,33500
30/05/2020,Audi,A6,A6 Sedan 2.0 TDI,2011.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,226000,185000
13/06/2020,Volkswagen,Polo,1.4 TDI Comfortline,2017.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,142000,123500
30/05/2020,Audi,A6,2.0 TDI,2007.0,Dizel,Düz Vites,1801-2000 cc,126-150 BG,Mavi ,Sedan,Galeriden,2. El,198000,120000
30/05/2020,Audi,A4,2.0 TDI,2012.0,Dizel,Otomatik Vites,1801-2000 cc,126-150 BG,Siyah ,Sedan,Sahibinden,2. El,168000,165000
29/05/2020,Audi,A6,"2.0 Quattro
",2016.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Siyah ,Sedan,Galeriden,2. El,70000,475000
29/05/2020,Audi,A3,"1.6 TDI Sportback
",2019.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,19000,249950
29/05/2020,Audi,A3,A3 Cabrio 1.5 TFSI Sport Line,2018.0,Benzin,Yarı Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz ,Spor / Coupe,Galeriden,2. El,21000,335000
28/05/2020,Audi,A3,Diğer,2017.0,Benzin,Yarı Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,25000,225000
28/05/2020,Audi,A4,1.4 TFSI,2016.0,Benzin,Otomatik Vites,1301-1600 cc,126-150 BG,Bej ,Sedan,Galeriden,2. El,37700,297900
28/05/2020,Audi,A6,2.0 TDI,2013.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Siyah ,Sedan,Galeriden,2. El,164000,269900
28/05/2020,Audi,A3,A3 Sportback 1.6 TDI Attraction,2014.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,79000,162000
28/05/2020,Audi,Q5,2.0 TDI Quattro,2011.0,Dizel,Otomatik Vites,1801-2000 cc,151-175 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,117000,255000
27/05/2020,Audi,A3,A3 Sedan 1.6 TDI Dynamic,2017.0,Dizel,Otomatik Vites,1301-1600 cc,151-175 BG,Lacivert ,Sedan,Galeriden,2. El,52500,208500
27/05/2020,Audi,A5,A5 Sportback 1.4 TFSI Sport,2017.0,Benzin,Otomatik Vites,1301-1600 cc,126-150 BG,Mavi ,Hatchback 5 Kapı,Galeriden,2. El,29000,445000
26/05/2020,Audi,A5,A5 Sportback 1.4 TFSI Sport,2017.0,Benzin,Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,51750,399999
25/05/2020,Audi,A5,2.0 TDI Quattro,2012.0,Dizel,Otomatik Vites,1801-2000 cc,101-125 BG,Beyaz ,Sedan,Galeriden,2. El,200000,222000
23/05/2020,Audi,A6,1.9 TDI,2004.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,126-150 BG,Gümüş Gri ,Sedan,Galeriden,2. El,311000,65000
23/05/2020,Audi,A4,1.6,2001.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Sedan,Galeriden,2. El,300000,42500
21/05/2020,Audi,A4,2.0 TDI,2016.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,176-200 BG,Siyah ,Sedan,Galeriden,2. El,121280,267500
17/05/2020,Audi,Q2,1.0 TFSI Design,2019.0,Benzin,Otomatik Vites,1300 cc ve altı,101-125 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,4500,265000
17/05/2020,Audi,A4,2.0 TDI,2012.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,176-200 BG,Siyah ,Sedan,Galeriden,2. El,202000,182500
21/05/2020,Land Rover,Discovery Sport,2.0 TD4 HSE,2016.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,200550,444500
17/05/2020,Audi,A4,A4 Sedan 2.0 TDI,2008.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Gri ,Sedan,Galeriden,2. El,290000,86000
17/05/2020,Audi,Q7,2.0 TFSI Quattro,2016.0,Benzin,Otomatik Vites,1801-2000 cc,Bilmiyorum,Füme ,Arazi Aracı,Galeriden,2. El,32000,722000
17/05/2020,Audi,A5,A5 Coupe 1.8 TFSI,2011.0,Benzin,Yarı Otomatik Vites,1601-1800 cc,Bilmiyorum,Beyaz ,Spor / Coupe,Galeriden,2. El,164000,136000
17/05/2020,Audi,Q8,Diğer,2020.0,Dizel,Otomatik Vites,3501-4000 cc,Bilmiyorum,Füme ,Arazi Aracı,Galeriden,0 km,0,2215000
17/05/2020,Audi,A3,A3 Sportback 1.0 TFSI Dynamic,2017.0,Benzin,Yarı Otomatik Vites,1300 cc ve altı,Bilmiyorum,Mavi ,Hatchback 5 Kapı,Galeriden,2. El,39500,186000
17/05/2020,Audi,A3,A3 Sedan 1.6 TDI Dynamic,2016.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,103169,164900
17/05/2020,Audi,A3,A3 Sedan 1.5 TFSI Design Line,2019.0,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,16,272500
17/05/2020,Audi,Q7,3.0 TDI Quattro,2008.0,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Beyaz ,Arazi Aracı,Galeriden,2. El,237000,209500
16/05/2020,Audi,A6,A6 Sedan 2.0 TFSI,2007.0,Benzin/LPG,Otomatik Vites,1801-2000 cc,176-200 BG,Füme ,Sedan,Sahibinden,2. El,255000,118000
15/05/2020,Audi,A3,"1.6 TDI Ambition Sportback
",2015.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Kırmızı ,Hatchback 5 Kapı,Sahibinden,2. El,93000,193000
15/05/2020,Audi,A3,1.6 FSI Sportback,2006.0,Benzin,Düz Vites,1301-1600 cc,101-125 BG,Siyah ,Hatchback 3 Kapı,Sahibinden,2. El,220000,68500
14/05/2020,Audi,A3,1.4 TFSI Attraction,2010.0,Benzin,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,68000,127000
14/05/2020,Audi,100 Serisi,2.0,1993.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,126-150 BG,Siyah ,Sedan,Galeriden,2. El,330000,36500
14/05/2020,Audi,A4,1.4 TFSI,2016.0,Benzin,Yarı Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz ,Sedan,Galeriden,2. El,168000,242000
13/05/2020,Audi,A4,A4 Sedan 2.0 TDI Dynamic,2017.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Beyaz ,Sedan,Galeriden,2. El,55000,325000
13/05/2020,Audi,A3,1.6 TDI Sedan,2017.0,Dizel,Yarı Otomatik Vites,1601-1800 cc,101-125 BG,Siyah ,Sedan,Sahibinden,2. El,52000,210000
13/05/2020,Audi,A4,A4 Sedan 2.0 TDI Sport,2016.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,176-200 BG,Füme ,Sedan,Galeriden,2. El,93000,329900
12/05/2020,Audi,A3,A3 Sportback 1.6 TDI Design Line,2018.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Gri ,Hatchback 5 Kapı,Galeriden,2. El,30000,185000
12/05/2020,Audi,Q2,1.6 TDI Design,2020.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Gri ,Arazi Aracı,Galeriden,0 km,0,319000
09/04/2020,Audi,Q7,3.0 TDI Quattro,2006.0,Dizel,Otomatik Vites,2501-3000 cc,276-300 BG,Gri ,Arazi Aracı,Galeriden,2. El,274654,162750
12/05/2020,Audi,Q3,Diğer,2018.0,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Arazi Aracı,Galeriden,2. El,17500,315000
12/05/2020,Audi,Q7,3.0 TDI Quattro,2012.0,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Beyaz ,Arazi Aracı,Galeriden,2. El,255000,327500
12/05/2020,Audi,A6,A6 Sedan 2.0 TDI,2012.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,138000,238900
12/05/2020,Audi,A6,A6 Sedan 2.0 TDI,2014.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,210000,217000
12/05/2020,Audi,A4,A4 Sedan 2.0 TDI,2015.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Lacivert ,Sedan,Galeriden,2. El,160000,219900
12/05/2020,Audi,A3,A3 Sedan 1.6 TDI Attraction,2016.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,120000,175000
